condition	replicate	edge_id	parent	child	seed	run_dir	status	child_fasta
low	1	E019	N10	S09	121019	runs/low/rep_001/E019_N10_to_S09	completed	data/node_fastas/low/rep_001/S09.fa
low	1	E020	N10	S10	121020	runs/low/rep_001/E020_N10_to_S10	completed	data/node_fastas/low/rep_001/S10.fa
low	1	E021	N09	N11	121021	runs/low/rep_001/E021_N09_to_N11	completed	data/node_fastas/low/rep_001/N11.fa
low	1	E022	N11	S11	121022	runs/low/rep_001/E022_N11_to_S11	completed	data/node_fastas/low/rep_001/S11.fa
low	1	E023	N11	S12	121023	runs/low/rep_001/E023_N11_to_S12	completed	data/node_fastas/low/rep_001/S12.fa
low	1	E024	N08	N12	121024	runs/low/rep_001/E024_N08_to_N12	completed	data/node_fastas/low/rep_001/N12.fa
low	1	E025	N12	N13	121025	runs/low/rep_001/E025_N12_to_N13	completed	data/node_fastas/low/rep_001/N13.fa
low	1	E026	N13	S13	121026	runs/low/rep_001/E026_N13_to_S13	completed	data/node_fastas/low/rep_001/S13.fa
low	1	E027	N13	S14	121027	runs/low/rep_001/E027_N13_to_S14	completed	data/node_fastas/low/rep_001/S14.fa
low	1	E028	N12	N14	121028	runs/low/rep_001/E028_N12_to_N14	completed	data/node_fastas/low/rep_001/N14.fa
low	1	E029	N14	S15	121029	runs/low/rep_001/E029_N14_to_S15	completed	data/node_fastas/low/rep_001/S15.fa
low	1	E030	N14	S16	121030	runs/low/rep_001/E030_N14_to_S16	completed	data/node_fastas/low/rep_001/S16.fa
normal	1	E001	root	N01	131001	runs/normal/rep_001/E001_root_to_N01	completed	data/node_fastas/normal/rep_001/N01.fa
normal	1	E002	N01	N02	131002	runs/normal/rep_001/E002_N01_to_N02	completed	data/node_fastas/normal/rep_001/N02.fa
normal	1	E003	N02	N03	131003	runs/normal/rep_001/E003_N02_to_N03	completed	data/node_fastas/normal/rep_001/N03.fa
normal	1	E004	N03	S01	131004	runs/normal/rep_001/E004_N03_to_S01	completed	data/node_fastas/normal/rep_001/S01.fa
normal	1	E005	N03	S02	131005	runs/normal/rep_001/E005_N03_to_S02	completed	data/node_fastas/normal/rep_001/S02.fa
normal	1	E006	N02	N04	131006	runs/normal/rep_001/E006_N02_to_N04	completed	data/node_fastas/normal/rep_001/N04.fa
normal	1	E007	N04	S03	131007	runs/normal/rep_001/E007_N04_to_S03	completed	data/node_fastas/normal/rep_001/S03.fa
normal	1	E008	N04	S04	131008	runs/normal/rep_001/E008_N04_to_S04	completed	data/node_fastas/normal/rep_001/S04.fa
normal	1	E009	N01	N05	131009	runs/normal/rep_001/E009_N01_to_N05	completed	data/node_fastas/normal/rep_001/N05.fa
